"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZFP69B",89.8553919499622,2.15576535060663,0.427452610290628,5.04328503021871,4.57606813677662e-07,5.17419809284168e-06
"EIF4EBP1",2363.24474159894,3.09849309415905,0.605901999538226,5.11385190430217,3.15654867204887e-07,3.72407491649632e-06
"LOC100288637",111.12576699205,2.205853460265,0.42189567953087,5.22843339547307,1.7095239705688e-07,2.15379264481871e-06
"ALOX15P2",12.0402480835068,5.39435467709367,1.37645527564727,3.91901921735671,8.89100262537077e-05,0.00052461281709638
"HEPACAM2",1227.80256313346,8.06383140905927,1.2679431457063,6.3597736510239,2.02051266606337e-10,4.9866252598444e-09
"SLC9A3-OT1",6.17885933352321,2.08650504263558,0.492138565208154,4.23966986158274,2.23848754809338e-05,0.000156932017851662
"IL17REL",38.0142160783305,4.66402454979774,1.05520366371657,4.42002308196166,9.8690359438709e-06,7.64604708257399e-05
"LRRIQ4",16.6337923021259,2.02873121897302,0.644950470468088,3.14556126689949,0.00165768470746057,0.00646010313871923
"SBK1",899.579454909352,3.26462815192972,0.468181281287134,6.9730001655652,3.10252260391511e-12,1.07804396536953e-10
"SLC38A3",134.651416978552,4.8945882071762,0.95951891150457,5.10108570919281,3.37710574758953e-07,3.95769749033478e-06
"PRR19",34.7448636086292,2.0252447522025,0.38049293904748,5.32268682113383,1.02245688672389e-07,1.35865356618276e-06
"ZP3",116.77244961223,2.04330364163377,0.39850812357078,5.12738265740987,2.93797981137216e-07,3.49510896893251e-06
"JAKMIP3",151.520789907814,3.97352588622159,0.859762639072218,4.62165451910016,3.80691620575542e-06,3.34560141968519e-05
"LCTL",6.73791154110264,2.41483110981987,0.579039554037341,4.17040786416492,3.04054967435284e-05,0.000205789233666768
"COL25A1",197.773282197451,3.46507819051209,0.861606331128046,4.02164894259248,5.77921465885678e-05,0.00036057308403127
"FBLL1",24.0338907180971,2.51931235195927,1.03985945495599,2.4227431312493,0.0154038142380297,0.0413418381424852
"NKAIN2",91.9027085610901,5.07565879318012,1.16094900951207,4.37199114827047,1.23118518269578e-05,9.2486760565192e-05
"FAM72B",37.3170682716749,2.79735060800417,0.59504731424083,4.70105576658734,2.58819812839803e-06,2.40169981280162e-05
"FSIP2",51.6828176162305,2.2875323074761,0.618522624728034,3.69838097431268,0.000216979054704236,0.00114107690390302
"BCL2L15",263.569800119322,3.1244857404372,0.716118484782198,4.3630848900479,1.2824115239778e-05,9.59625688690433e-05
"ENTPD8",106.949238352996,6.22851152882351,0.807705852595275,7.71136114565767,1.24482848514709e-14,6.94821258861198e-13
"LIPI",2.36780736159119,2.40813464179809,0.836032472207479,2.88043194714626,0.00397130675250658,0.0135072946741616
