"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FPR1",1107.56860169268,-2.56871645569171,0.437989244604217,-5.86479345631624,4.49692114343222e-09,8.2924242959139e-08
"SOX7",788.277116213073,-3.82770148591354,0.518408151278375,-7.38356732330418,1.54103687209962e-13,6.85776427936886e-12
"GIMAP8",1980.51590815847,-2.86095357660508,0.321643183359687,-8.89480556286417,5.85216710912432e-19,6.67995614670996e-17
"PRKCE",1806.85156822962,-2.51851675575497,0.25638130058416,-9.82332467312001,8.9347224379802e-23,1.8886183197838e-20
"SOSTDC1",1197.89487633445,-4.5899510558379,0.680424375910151,-6.74571814053292,1.52271968735687e-11,4.58603796077439e-10
"KCNK3",1645.76090359054,-2.39377105269407,0.6693599341951,-3.57620904748738,0.00034861291440054,0.00172501744327024
"TPPP",1503.96738407219,-2.49050291970121,0.45832889474688,-5.43387717476691,5.51425445306929e-08,7.8237983162908e-07
"KRT13",36.384444873699,-2.46267350481457,0.519911691887988,-4.73671499071642,2.17210298251907e-06,2.05499125519801e-05
"RXFP1",263.13130456584,-3.46300050012484,0.329526046484112,-10.509034223769,7.84932289163855e-26,2.4546875656605e-23
"DNAI2",129.49977416468,-2.75911410568262,0.850513958166239,-3.24405505540607,0.00117840966735718,0.00485857220446038
"NMUR1",146.717843106223,-3.07448736377171,0.433119022029678,-7.09848149675828,1.26135070874785e-12,4.7128273862528e-11
"LKAAEAR1",8.51541538633453,-2.38580355490496,0.79057489418382,-3.01780839798617,0.00254609827722862,0.00925850232093855
"RASGRP4",237.427831672545,-2.07558234677334,0.336345254211318,-6.17098746239273,6.78648041774357e-10,1.47130637660653e-08
"ANGPTL7",75.0450928334488,-5.40983488597086,0.539929818108131,-10.0195149527516,1.25115451397276e-23,3.0385751488813e-21
"KLF17",16.7215637391769,-2.7665191165345,0.441789533379015,-6.26207482865167,3.79888554804633e-10,8.84044425854737e-09
